date,state,county,category,visitIndex,visitsAbove65Index,visitsBelow65Index,rank
2020-03-14,California,Alameda County,Discount Stores,95,97,95,25
2020-03-14,California,Alameda County,Metro Stations,46,57,46,26
2020-03-14,California,Alameda County,Sports,43,77,42,27
2020-03-14,California,Alameda County,Government,76,111,76,28
2020-03-15,California,Alameda County,Food,64,57,64,1
2020-03-15,California,Alameda County,Shops & Services,69,57,69,2
2020-03-15,California,Alameda County,Grocery,109,101,109,3
2020-03-15,California,Alameda County,Outdoors & Recreation,63,48,63,4
2020-03-15,California,Alameda County,Big Box Stores,98,85,99,5
2020-03-15,California,Alameda County,Gas Stations,70,99,69,6
2020-03-15,California,Alameda County,Professional & Other Places,65,60,65,7
2020-03-15,California,Alameda County,Fast Food Restaurants,72,69,72,8
2020-03-15,California,Alameda County,Airport,64,47,65,9
2020-03-15,California,Alameda County,Nightlife Spots,56,45,57,10
2020-03-15,California,Alameda County,Drug Store,108,91,109,11
2020-03-15,California,Alameda County,Fitness Center,66,94,66,12
2020-03-15,California,Alameda County,Residences,68,66,68,13
2020-03-15,California,Alameda County,Spiritual Center,47,34,48,14
2020-03-15,California,Alameda County,Arts & Entertainment,42,56,42,15
2020-03-15,California,Alameda County,School,59,50,59,16
2020-03-15,California,Alameda County,Medical,71,72,71,17
2020-03-15,California,Alameda County,Convenience Store,73,98,72,18
2020-03-15,California,Alameda County,Hardware Stores,91,79,92,19
2020-03-15,California,Alameda County,Travel & Transport,39,40,39,20
2020-03-15,California,Alameda County,Colleges & Universities,40,24,40,21
2020-03-15,California,Alameda County,Hotel,55,54,56,22
2020-03-15,California,Alameda County,Alcohol,69,72,69,23
2020-03-15,California,Alameda County,Office,56,37,56,24
2020-03-15,California,Alameda County,Discount Stores,84,43,85,25
2020-03-15,California,Alameda County,Metro Stations,40,36,40,26
2020-03-15,California,Alameda County,Sports,40,51,40,27
2020-03-16,California,Alameda County,Shops & Services,94,74,95,1
2020-03-16,California,Alameda County,Food,78,62,79,2
2020-03-16,California,Alameda County,Grocery,171,161,172,3
2020-03-16,California,Alameda County,Outdoors & Recreation,80,56,81,4
2020-03-16,California,Alameda County,Professional & Other Places,78,68,78,5
2020-03-16,California,Alameda County,Gas Stations,107,94,107,6
2020-03-16,California,Alameda County,Medical,85,81,85,7
2020-03-16,California,Alameda County,Big Box Stores,141,112,142,8
2020-03-16,California,Alameda County,Office,73,88,73,9
2020-03-16,California,Alameda County,Fast Food Restaurants,88,46,89,10
2020-03-16,California,Alameda County,Drug Store,141,135,141,11
2020-03-16,California,Alameda County,School,59,43,59,12
2020-03-16,California,Alameda County,Airport,68,28,70,13
2020-03-16,California,Alameda County,Fitness Center,58,50,58,14
2020-03-16,California,Alameda County,Residences,90,65,90,15
2020-03-16,California,Alameda County,Travel & Transport,50,36,50,16
2020-03-16,California,Alameda County,Nightlife Spots,73,60,73,17
2020-03-16,California,Alameda County,Convenience Store,102,72,102,18
2020-03-16,California,Alameda County,Arts & Entertainment,62,68,61,19
2020-03-16,California,Alameda County,Hardware Stores,107,68,109,20
