date,county,categoryName,visitIndex
2020-03-02,Orange County,Gas Stations,101
2020-03-02,Orange County,Theme Park Rides/Attractions,87
2020-03-02,Orange County,Offices,107
2020-03-02,Orange County,Parks,98
2020-03-02,Orange County,Big Box Stores,111
2020-03-02,Orange County,Coffee Shops,100
2020-03-02,Orange County,Elementary Schools,138
2020-03-02,Orange County,Hotels,91
2020-03-02,Orange County,Gyms or Fitness Centers,104
2020-03-02,Orange County,Buildings,104
2020-03-02,Orange County,Mexican Restaurants,96
2020-03-02,Orange County,Residential Buildings (Apartments / Condos),103
2020-03-02,Orange County,Resorts,87
2020-03-02,Orange County,Warehouse Stores,124
2020-03-02,Orange County,Banks,126
2020-03-02,Orange County,Supermarkets,106
2020-03-03,Orange County,Fast Food Restaurants,99
2020-03-03,Orange County,Grocery Stores,103
2020-03-03,Orange County,Shopping Malls,101
2020-03-03,Orange County,Theme Parks,91
2020-03-03,Orange County,Gas Stations,105
2020-03-03,Orange County,Parks,111
2020-03-03,Orange County,Offices,94
2020-03-03,Orange County,Theme Park Rides/Attractions,90
2020-03-03,Orange County,Coffee Shops,95
2020-03-03,Orange County,Big Box Stores,108
2020-03-03,Orange County,Elementary Schools,103
2020-03-03,Orange County,Mexican Restaurants,103
2020-03-03,Orange County,Hotels,88
2020-03-03,Orange County,Buildings,100
2020-03-03,Orange County,Gyms or Fitness Centers,99
2020-03-03,Orange County,Residential Buildings (Apartments / Condos),101
2020-03-03,Orange County,Resorts,93
2020-03-03,Orange County,Churches,109
2020-03-03,Orange County,Supermarkets,104
2020-03-03,Orange County,Shopping Plazas,97
2020-03-04,Orange County,Grocery Stores,106
2020-03-04,Orange County,Fast Food Restaurants,97
2020-03-04,Orange County,Shopping Malls,98
2020-03-04,Orange County,Theme Parks,86
2020-03-04,Orange County,Gas Stations,104
2020-03-04,Orange County,Offices,96
2020-03-04,Orange County,Parks,101
2020-03-04,Orange County,Coffee Shops,93
2020-03-04,Orange County,Theme Park Rides/Attractions,87
2020-03-04,Orange County,Big Box Stores,99
2020-03-04,Orange County,Elementary Schools,98
2020-03-04,Orange County,Mexican Restaurants,103
2020-03-04,Orange County,Buildings,94
2020-03-04,Orange County,Gyms or Fitness Centers,99
